
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"4270",0,
,,"4271",22,
,,"4272",4,
,,"4273",3,
,,"4274",0,
,,"4279",12,
,,"4300",0,
,,"4310",10,
,,"4320",0,
,,"G000",90,
,,"4400",90,
,,"4500",12,
,,"4510",4,
,,"4511",169,
,,"4512",63,
,,"4513",19,
,,"4520",62,
,,"4530",9,
,,"H000",0,
,,"4600",0,
,,"4610",105,
,,"4620",4,
,,"4621",0,
,,"4622",3,
,,"4623",33,
,,"4700",20,
,,"4710",4,
,,"4720",72,
,,"4800",11,
,,"4810",3,
,,"4820",10,
,,"4900",34,
,,"5000",0,
,,"5010",11,
,,"5020",0,
,,"5021",0,
,,"5029",0,
,,"5100",0,
,,"5101",24,
,,"5102",22,
,,"5200",0,
,,"5210",0,
,,"5211",3,
,,"5212",3,
,,"5219",3,
,,"5220",6,
,,"5290",0,
,,"5291",0,
,,"5292",0,
,,"5299",37,
,,"5300",3,
,,"5301",6,
,,"5309",0,
,,"I000",21,
,,"5400",0,
,,"5410",0,
,,"5411",17,
,,"5412",17,
,,"5413",3,
,,"5414",5,
,,"5419",0,
,,"5420",0,
,,"5500",0,
,,"5510",0,
,,"5511",7,
,,"5512",3,
,,"5513",3,
,,"5514",0,
,,"5520",0,
,,"5521",0,
,,"5522",0,
,,"5600",0,
,,"5610",5,
,,"5620",3,
,,"5621",3,
,,"5622",5,
,,"5700",3,
,,"5800",22,
,,"5801",57,
,,"5802",7,
,,"5809",0,
,,"5900",0,
,,"5910",4,
,,"5920",0,
,,"5921",0,
,,"5922",0,
,,"6000",0,
,,"6010",3,
,,"6020",3,
,,"J000",10,
,,"6200",104,
,,"6210",4,
,,"6220",0,
,,"6221",134,
,,"6222",0,
,,"6223",5,
,,"6229",5,
,,"6230",7,
,,"6240",10,
,,"6300",0,
,,"6310",10,
,,"6320",0,
,,"6321",4,
,,"6322",104,
,,"6330",12,
,,"6400",0,
,,"6410",4,
,,"6411",24,
,,"6419",101,
,,"6420",15,
,,"K000",18,
,,"6600",0,
,,"6610",0,
,,"6611",3,
,,"6619",3,
,,"6620",0,
,,"6630",3,
,,"6631",0,
,,"6632",4,
,,"6639",3,
,,"6640",0,
,,"6700",5,
,,"6710",0,
,,"6711",9,
,,"6712",12,
,,"6720",26,
,,"L000",0,
,,"6900",19,
,,"6910",17,
,,"6920",8,
,,"6921",15,
,,"6922",3,
,,"6923",23,
,,"6924",9,
,,"6925",7,
,,"6930",0,
,,"6931",144,
,,"6932",80,
,,"6940",28,
,,"6950",28,
,,"6960",7,
,,"6961",3,
,,"6962",54,
,,"6970",0,
,,"6990",0,
,,"6991",4,
,,"6999",11,
,,"7000",101,
,,"M000",4,
,,"7200",3,
,,"7210",0,
,,"7211",75,
,,"7212",51,
,,"7220",41,
,,"7290",7,
,,"7291",7,
,,"7292",0,
,,"7293",3,
,,"7294",13,
,,"7299",19,
,,"7300",0,
,,"7310",3,
,,"7311",172,
,,"7312",3,
,,"7313",17,
,,"7320",0,
,,"N000",3,
,,"7500",30,
,,"7510",52,
,,"7520",105,
,,"7530",24,
,,"7540",19,
,,"7550",0,
,,"7551",0,
,,"7552",3,
,,"7600",26,
,,"7700",3,
,,"7710",3,
,,"7711",30,
,,"7712",60,
,,"7713",11,
,,"7714",8,
,,"7719",3,
,,"7720",8,
,,"O000",3,
,,"8000",0,
,,"8010",6,
,,"8020",3,
,,"8021",33,
,,"8022",21,
,,"8023",9,
,,"8024",3,
,,"8100",3,
,,"8101",31,
,,"8102",163,
,,"8200",4,
,,"8210",0,
,,"8211",6,
,,"8212",6,
,,"8219",35,
,,"8220",0,
,,"P000",26,
,,"8400",0,
,,"8401",106,
,,"8402",0,
,,"8500",32,
,,"8510",0,
,,"8511",19,
,,"8512",8,
,,"8520",10,
,,"8530",0,
,,"8531",6,
,,"8532",3,
,,"8533",0,
,,"8534",4,
,,"8539",19,
,,"8590",0,
,,"8591",4,
,,"8599",4,
,,"8600",0,
,,"8601",34,
,,"8609",17,
,,"8700",37,
,,"8710",24,
,,"8790",69,
,,"Q000",41,
,,"8900",0,
,,"8910",3,
,,"8920",0,
,,"8921",3,
,,"8922",8,
