
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"5210",0,
,,"5211",0,
,,"5212",0,
,,"5219",0,
,,"5220",0,
,,"5290",0,
,,"5291",0,
,,"5292",0,
,,"5299",4,
,,"5300",0,
,,"5301",0,
,,"5309",4,
,,"I000",0,
,,"5400",0,
,,"5410",0,
,,"5411",3,
,,"5412",0,
,,"5413",0,
,,"5414",0,
,,"5419",0,
,,"5420",0,
,,"5500",0,
,,"5510",0,
,,"5511",0,
,,"5512",0,
,,"5513",0,
,,"5514",0,
,,"5520",0,
,,"5521",0,
,,"5522",0,
,,"5600",0,
,,"5610",0,
,,"5620",0,
,,"5621",0,
,,"5622",0,
,,"5700",0,
,,"5800",3,
,,"5801",0,
,,"5802",0,
,,"5809",0,
,,"5900",0,
,,"5910",0,
,,"5920",0,
,,"5921",0,
,,"5922",0,
,,"6000",0,
,,"6010",7,
,,"6020",0,
,,"J000",0,
,,"6200",11,
,,"6210",0,
,,"6220",0,
,,"6221",67,
,,"6222",5,
,,"6223",3,
,,"6229",0,
,,"6230",0,
,,"6240",3,
,,"6300",0,
,,"6310",3,
,,"6320",3,
,,"6321",0,
,,"6322",24,
,,"6330",0,
,,"6400",0,
,,"6410",4,
,,"6411",0,
,,"6419",26,
,,"6420",17,
,,"K000",6,
,,"6600",0,
,,"6610",0,
,,"6611",0,
,,"6619",3,
,,"6620",0,
,,"6630",3,
,,"6631",25,
,,"6632",16,
,,"6639",19,
,,"6640",0,
,,"6700",6,
,,"6710",0,
,,"6711",3,
,,"6712",4,
,,"6720",137,
,,"L000",0,
,,"6900",3,
,,"6910",4,
,,"6920",9,
,,"6921",6,
,,"6922",15,
,,"6923",16,
,,"6924",9,
,,"6925",0,
,,"6930",0,
,,"6931",66,
,,"6932",76,
,,"6940",33,
,,"6950",0,
,,"6960",0,
,,"6961",0,
,,"6962",3,
,,"6970",27,
,,"6990",0,
,,"6991",0,
,,"6999",0,
,,"7000",6,
,,"M000",0,
,,"7200",0,
,,"7210",3,
,,"7211",67,
,,"7212",14,
,,"7220",7,
,,"7290",4,
,,"7291",7,
,,"7292",0,
,,"7293",0,
,,"7294",0,
,,"7299",0,
,,"7300",0,
,,"7310",0,
,,"7311",61,
,,"7312",11,
,,"7313",5,
,,"7320",0,
,,"N000",0,
,,"7500",5,
,,"7510",88,
,,"7520",181,
,,"7530",68,
,,"7540",25,
,,"7550",0,
,,"7551",0,
,,"7552",0,
,,"7600",0,
,,"7700",0,
,,"7710",0,
,,"7711",161,
,,"7712",9,
,,"7713",32,
,,"7714",5,
,,"7719",0,
,,"7720",0,
,,"O000",0,
,,"8000",0,
,,"8010",7,
,,"8020",8,
,,"8021",96,
,,"8022",160,
,,"8023",0,
,,"8024",4,
,,"8100",0,
,,"8101",0,
,,"8102",0,
,,"8200",0,
,,"8210",0,
,,"8211",17,
,,"8212",7,
,,"8219",21,
,,"8220",0,
,,"P000",9,
,,"8400",0,
,,"8401",0,
,,"8402",0,
,,"8500",19,
,,"8510",6,
,,"8511",40,
,,"8512",7,
,,"8520",25,
,,"8530",0,
,,"8531",33,
,,"8532",9,
,,"8533",8,
,,"8534",3,
,,"8539",14,
,,"8590",0,
,,"8591",13,
,,"8599",0,
,,"8600",0,
,,"8601",74,
,,"8609",8,
,,"8700",26,
,,"8710",41,
,,"8790",137,
,,"Q000",24,
,,"8900",0,
,,"8910",3,
,,"8920",0,
,,"8921",0,
,,"8922",0,
,,"9000",0,
,,"9001",0,
,,"9002",3,
,,"9003",0,
,,"9100",5,
,,"9110",3,
,,"9111",4,
,,"9112",9,
,,"9113",7,
,,"9114",0,
,,"9120",0,
,,"9121",0,
,,"9129",3,
,,"9130",0,
,,"9131",0,
,,"9139",4,
,,"9200",0,
,,"9201",0,
,,"9202",0,
,,"9209",5,
,,"R000",0,
,,"9400",3,
,,"9410",3,
,,"9411",11,
,,"9412",39,
,,"9419",63,
,,"9420",4,
,,"9421",3,
,,"9422",3,
,,"9429",16,
,,"9490",0,
,,"9491",7,
,,"9499",3,
,,"9500",0,
,,"9510",0,
,,"9511",55,
,,"9512",0,
,,"9520",8,
,,"9530",0,
,,"9531",0,
,,"9532",0,
,,"9533",3,
,,"9534",0,
,,"9539",11,
,,"9540",7,
,,"9550",0,
,,"9551",3,
,,"9552",0,
,,"9559",10,
,,"9600",0,
,,"9601",0,
,,"9602",0,
,,"9603",0,
,,"S000",0,
,,"9900",34,
,,"Total",5242,
,"307053463","&&&&",0,
,,"@@@@",0,
,,"0100",0,
,,"0110",0,
,,"0111",0,
,,"0112",0,
,,"0113",0,
,,"0114",0,
,,"0115",0,
,,"0120",0,
,,"0121",0,
,,"0122",0,
,,"0123",0,
,,"0130",0,
,,"0131",0,
,,"0132",0,
,,"0133",0,
,,"0134",0,
,,"0135",0,
,,"0136",0,
,,"0137",0,
,,"0139",0,
,,"0140",0,
,,"0141",0,
,,"0142",3,
,,"0143",0,
,,"0144",0,
,,"0145",0,
,,"0146",0,
,,"0149",0,
,,"0150",0,
,,"0151",0,
,,"0152",0,
,,"0159",0,
,,"0160",0,
,,"0170",0,
,,"0171",0,
,,"0172",0,
,,"0180",0,
,,"0190",0,
,,"0191",0,
,,"0192",0,
,,"0193",3,
,,"0199",0,
,,"0200",0,
,,"0201",0,
,,"0202",0,
,,"0203",0,
,,"0300",0,
,,"0301",0,
,,"0302",0,
,,"0400",0,
,,"0410",0,
,,"0411",0,
,,"0412",0,
,,"0413",0,
,,"0414",0,
,,"0419",0,
,,"0420",0,
,,"0500",0,
,,"0510",0,
,,"0520",0,
,,"0521",0,
,,"0522",0,
,,"0529",0,
,,"A000",0,
,,"0600",0,
,,"0700",0,
,,"0800",0,
,,"0801",0,
,,"0802",0,
,,"0803",0,
,,"0804",0,
,,"0805",0,
,,"0806",0,
,,"0807",0,
,,"0809",0,
,,"0900",0,
,,"0910",0,
,,"0911",0,
,,"0919",0,
,,"0990",0,
,,"1000",0,
,,"1010",0,
,,"1011",0,
,,"1012",0,
,,"1090",0,
,,"B000",0,
,,"1100",0,
,,"1110",0,
,,"1111",0,
,,"1112",0,
,,"1113",0,
,,"1120",0,
,,"1130",0,
,,"1131",4,
,,"1132",0,
,,"1133",3,
,,"1140",0,
,,"1150",0,
,,"1160",0,
,,"1161",0,
,,"1162",0,
,,"1170",0,
,,"1171",0,
,,"1172",0,
,,"1173",0,
,,"1174",0,
,,"1180",0,
,,"1181",0,
,,"1182",0,
,,"1190",0,
,,"1191",0,
,,"1192",0,
,,"1199",0,
,,"1200",0,
,,"1210",0,
,,"1211",0,
,,"1212",0,
,,"1213",0,
,,"1214",0,
,,"1220",0,
,,"1300",0,
,,"1310",0,
,,"1311",0,
,,"1312",0,
,,"1313",3,
,,"1320",0,
,,"1330",0,
,,"1331",0,
,,"1332",0,
,,"1333",0,
,,"1334",3,
,,"1340",4,
,,"1350",0,
,,"1351",5,
,,"1352",0,
,,"1400",0,
,,"1410",0,
,,"1411",0,
,,"1412",0,
,,"1413",0,
,,"1490",0,
,,"1491",0,
,,"1492",16,
,,"1493",0,
,,"1494",0,
,,"1499",0,
,,"1500",0,
,,"1510",0,
,,"1520",0,
