
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P) by Sex Male/Female (SEXP)"
"Counting: Persons, Place of Work"

,,"Sex Male/Female (SEXP)","Male","Female",
,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"5400",0,0,
,,"5410",0,0,
,,"5411",0,3,
,,"5412",0,0,
,,"5413",0,0,
,,"5414",0,0,
,,"5419",0,0,
,,"5420",0,0,
,,"5500",0,0,
,,"5510",0,0,
,,"5511",0,0,
,,"5512",0,0,
,,"5513",0,0,
,,"5514",0,0,
,,"5520",0,0,
,,"5521",0,0,
,,"5522",0,0,
,,"5600",0,0,
,,"5610",0,0,
,,"5620",0,0,
,,"5621",0,0,
,,"5622",0,0,
,,"5700",0,0,
,,"5800",0,0,
,,"5801",0,0,
,,"5802",0,0,
,,"5809",0,0,
,,"5900",0,0,
,,"5910",0,0,
,,"5920",0,0,
,,"5921",0,0,
,,"5922",0,0,
,,"6000",0,0,
,,"6010",0,0,
,,"6020",0,0,
,,"J000",0,0,
,,"6200",0,0,
,,"6210",0,0,
,,"6220",0,0,
,,"6221",0,0,
,,"6222",0,0,
,,"6223",0,0,
,,"6229",0,0,
,,"6230",0,0,
,,"6240",0,0,
,,"6300",0,0,
,,"6310",0,0,
,,"6320",0,0,
,,"6321",0,0,
,,"6322",0,0,
,,"6330",0,0,
,,"6400",0,0,
,,"6410",0,0,
,,"6411",0,0,
,,"6419",0,0,
,,"6420",0,0,
,,"K000",0,0,
,,"6600",0,0,
,,"6610",0,0,
,,"6611",0,0,
,,"6619",0,0,
,,"6620",0,0,
,,"6630",0,0,
,,"6631",0,0,
,,"6632",0,0,
,,"6639",0,0,
,,"6640",0,0,
,,"6700",0,0,
,,"6710",0,0,
,,"6711",0,0,
,,"6712",0,0,
,,"6720",0,3,
,,"L000",0,0,
,,"6900",0,0,
,,"6910",0,0,
,,"6920",0,0,
,,"6921",0,0,
,,"6922",0,0,
,,"6923",3,0,
,,"6924",0,0,
,,"6925",0,0,
,,"6930",0,0,
,,"6931",0,0,
,,"6932",0,0,
,,"6940",0,3,
,,"6950",0,3,
,,"6960",0,0,
,,"6961",0,0,
,,"6962",0,0,
,,"6970",0,0,
,,"6990",0,0,
,,"6991",0,0,
,,"6999",0,0,
,,"7000",0,0,
,,"M000",0,0,
,,"7200",0,0,
,,"7210",0,0,
,,"7211",0,0,
,,"7212",0,0,
,,"7220",0,0,
,,"7290",0,0,
,,"7291",0,0,
,,"7292",0,0,
,,"7293",0,0,
,,"7294",0,0,
,,"7299",0,0,
,,"7300",0,0,
,,"7310",0,0,
,,"7311",0,0,
,,"7312",0,0,
,,"7313",0,0,
,,"7320",0,0,
,,"N000",0,0,
,,"7500",0,0,
,,"7510",0,0,
,,"7520",0,0,
,,"7530",0,0,
,,"7540",0,0,
,,"7550",0,0,
,,"7551",0,0,
,,"7552",0,0,
,,"7600",0,0,
,,"7700",0,0,
,,"7710",0,0,
,,"7711",0,0,
,,"7712",0,0,
,,"7713",0,0,
,,"7714",0,0,
,,"7719",0,0,
